"Klucz","KluczOpakZewn","KodKreskowy","OpisOpakowania","StatusOpak","IdRodzOpak","NrWersji","IdSesji","NrZlecenia","DataBrakowania","OstatniePrzyj","OstatnieWyd","IdGrupyDokKl","RokDokumentu"
"2613","5459","000000002613","\N","10","23","14","2972","","2022-12-31 00:00:00","\N","\N","132","2002"
"27449","\N","000000027449","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"23817","\N","000000023817","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21308","5128","000000021308","\N","10","23","4","3231","","2032-12-31 00:00:00","\N","\N","147","2012"
"23818","\N","000000023818","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21314","5126","000000021314","\N","10","23","4","3231","","2032-12-31 00:00:00","\N","\N","147","2012"
"21535","5374","000000021535","\N","10","23","4","3278","","2032-12-31 00:00:00","\N","\N","159","2012"
"21315","5123","000000021315","\N","10","23","4","3231","","2032-12-31 00:00:00","\N","\N","147","2012"
"7232","4614","000000007232","\N","10","23","13","2628","","2023-12-31 00:00:00","\N","\N","132","2003"
"21321","5135","000000021321","\N","10","23","4","3230","","2032-12-31 00:00:00","\N","\N","147","2012"
"23819","\N","000000023819","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21322","5123","000000021322","\N","10","23","4","3230","","2032-12-31 00:00:00","\N","\N","147","2012"
"19962","4615","000000019962","\N","10","23","8","3198","","2027-12-31 00:00:00","\N","\N","132","2007"
"21323","5124","000000021323","\N","10","23","4","3230","","2032-12-31 00:00:00","\N","\N","147","2012"
"22200","\N","000000022200","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21325","5124","000000021325","\N","10","23","4","3230","","2032-12-31 00:00:00","\N","\N","147","2012"
"22201","\N","000000022201","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21326","5139","000000021326","\N","10","23","4","3231","","2032-12-31 00:00:00","\N","\N","147","2012"
"22202","\N","000000022202","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21328","5131","000000021328","\N","10","23","5","3231","","2032-12-31 00:00:00","\N","\N","147","2012"
"22203","\N","000000022203","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"27450","\N","000000027450","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22204","\N","000000022204","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
